chain,generation,subjID,seqid,seqIN,seqOUT
2,7,2.7,15,1123112411243,11241123243
2,7,2.7,16,3124312412,3124312412
2,7,2.7,17,422342134224,42134223412
2,7,2.7,18,412412421112,412412422214
2,7,2.7,19,11311243,112113412
2,7,2.7,20,4233423124,4234112423
2,7,2.7,21,41134213,41134213
2,7,2.7,22,43214324,412432412
2,7,2.7,23,123124123124,12312412143
2,7,2.7,24,12431123,12431143
2,7,2.7,25,2323124214,232314214
2,7,2.7,26,11242112431142,11241132214
2,7,2.7,27,2214221322113,22142213214
2,7,2.7,28,1124311243234,1124311243214
2,7,2.7,29,1234124321143,1231223412
2,7,2.7,30,22332214214,22332213243
2,7,2.7,31,4221342221,4221342221
2,8,2.8,1,412341234,412341234
2,8,2.8,2,4234112423,412342341123
2,8,2.8,3,1423142314423,1423142311423
2,8,2.8,4,12431143,12431143
2,8,2.8,5,44122143214,14231421123
2,8,2.8,6,12312412143,1243141423
2,8,2.8,7,114311431124,114311431124
2,8,2.8,9,4221342221,1342221342223
2,8,2.8,10,22142213214,22132214223
2,8,2.8,12,14231423,142341423
2,8,2.8,13,221222432314,221423221223
2,8,2.8,14,4442344241342,444231414423
2,8,2.8,15,41134213,421342133
2,8,2.8,16,11241123243,112411231442
2,8,2.8,17,412412422214,4124124122214
2,8,2.8,18,22332213243,22144213122
2,8,2.8,19,41234123412,412341234122
2,8,2.8,20,1231223412,123413122413
2,8,2.8,21,412432412,412341224
2,8,2.8,22,3124312412,3412341243
2,8,2.8,23,1124311243214,12341123
2,8,2.8,24,1142114321,114211431242
2,8,2.8,25,232314214,232314214
2,8,2.8,26,42134223412,42134133421
2,8,2.8,27,44124233,4214423
2,8,2.8,28,112113412,1142114113
2,8,2.8,29,11241132214,143211343
2,8,2.8,30,2242242212324,4224221422
2,8,2.8,31,1124112311243,411241113413
2,8,2.8,32,44123114,411341142
2,9,2.9,1,421342133,412342133
